partition,family,event,incident_degree,query_identity,query_global_sequence_index,positive_global_sequence_index,positive_view_kind,hard_negative_identity,hard_negative_global_sequence_index,hard_negative_objective_profile_distance,query_profile_observations
fit,S01,junction,3,S01_flat_tree_small_C05:node:node_0018,5248,5314,different_physical_edge,S03_flat_unicyclic_small_C03:node:node_0045,27256,0.021154341715311675,5
fit,S01,junction,3,S01_flat_tree_small_C05:node:node_0028,5610,5642,different_physical_edge,S09_flat_complex_C03:node:node_0050,152484,0.0057922974564218474,5
fit,S01,terminal,1,S01_flat_tree_small_C05:node:node_0033,5728,5722,same_edge_reverse_view,S06_3d_branch_medium_C01:node:node_0071,70092,0.006364980527493818,5
fit,S01,junction,3,S01_flat_tree_small_C05:node:node_0041,5800,5828,different_physical_edge,S05_flat_branch_medium_C05:node:node_0059,58820,0.008877277509246974,5
fit,S01,terminal,1,S01_flat_tree_small_C05:node:node_0044,5861,5854,same_edge_reverse_view,S03_flat_unicyclic_small_C03:node:node_0040,27163,0.009381963986169483,5
fit,S01,terminal,1,S01_flat_tree_small_C06:node:node_0008,6096,6090,same_edge_reverse_view,S07_flat_loop_rich_C03:node:node_0096,96930,0.051883353110632524,5
fit,S01,terminal,1,S01_flat_tree_small_C06:node:node_0009,6122,6102,same_edge_reverse_view,S07_flat_loop_rich_C05:node:node_0060,101996,0.005975232808777274,5
fit,S01,junction,3,S01_flat_tree_small_C06:node:node_0024,6230,6345,different_physical_edge,S05_flat_branch_medium_C03:node:node_0079,54970,0.008311655669155479,5
fit,S01,junction,3,S01_flat_tree_small_C06:node:node_0035,6544,6585,different_physical_edge,S09_flat_complex_C02:node:node_0077,149756,0.004324671342598305,5
fit,S01,terminal,1,S01_flat_tree_small_C06:node:node_0038,6702,6666,same_edge_reverse_view,S01_flat_tree_small_C04:node:node_0054,4742,0.006640063583261088,5
fit,S01,terminal,1,S01_flat_tree_small_C06:node:node_0044,6778,6790,same_edge_reverse_view,S09_flat_complex_C01:node:node_0086,146001,0.005712740612052834,5
selection,S01,terminal,1,S01_flat_tree_small_C07:node:node_0000,7186,7172,same_edge_reverse_view,S01_flat_tree_small_C07:node:node_0003,7253,0.006616042899786439,5
selection,S01,terminal,1,S01_flat_tree_small_C07:node:node_0003,7253,7235,same_edge_reverse_view,S01_flat_tree_small_C07:node:node_0000,7186,0.006616042899786439,5
selection,S01,junction,3,S01_flat_tree_small_C07:node:node_0010,7236,7340,different_physical_edge,S09_flat_complex_C08:node:node_0002,170288,0.018961508774815793,5
selection,S01,terminal,1,S01_flat_tree_small_C07:node:node_0023,7663,7656,same_edge_reverse_view,S04_3d_unicyclic_small_C08:node:node_0034,46288,0.012875191925972407,5
selection,S01,junction,3,S01_flat_tree_small_C07:node:node_0025,7570,7698,different_physical_edge,S09_flat_complex_C08:node:node_0142,174023,0.00680209080993168,5
selection,S01,junction,3,S01_flat_tree_small_C07:node:node_0044,7946,8037,different_physical_edge,S05_flat_branch_medium_C07:node:node_0088,64275,0.024113669706916835,5
selection,S01,terminal,1,S01_flat_tree_small_C07:node:node_0049,8074,8087,same_edge_reverse_view,S05_flat_branch_medium_C08:node:node_0070,65707,0.009402592703374072,5
selection,S01,terminal,1,S01_flat_tree_small_C07:node:node_0054,8157,8150,same_edge_reverse_view,S07_flat_loop_rich_C07:node:node_0004,106694,0.01173211009794313,5
selection,S01,junction,3,S01_flat_tree_small_C08:node:node_0010,8316,8442,different_physical_edge,S07_flat_loop_rich_C08:node:node_0115,111653,0.011113298141149348,5
selection,S01,junction,4,S01_flat_tree_small_C08:node:node_0015,8470,8508,different_physical_edge,S09_flat_complex_C07:node:node_0101,168833,0.0462578721187204,5
selection,S01,terminal,1,S01_flat_tree_small_C08:node:node_0023,8801,8790,same_edge_reverse_view,S05_flat_branch_medium_C07:node:node_0058,63809,0.016012305066106017,5
selection,S01,junction,3,S01_flat_tree_small_C08:node:node_0027,8594,8704,different_physical_edge,S03_flat_unicyclic_small_C07:node:node_0040,33004,0.027582519553168077,5
selection,S01,terminal,1,S01_flat_tree_small_C08:node:node_0032,8963,8967,same_edge_reverse_view,S09_flat_complex_C07:node:node_0078,168668,0.013876210221751532,4
selection,S01,terminal,1,S01_flat_tree_small_C08:node:node_0035,8674,8688,same_edge_reverse_view,S09_flat_complex_C07:node:node_0007,166821,0.009623856323462023,5
selection,S01,junction,3,S01_flat_tree_small_C08:node:node_0039,9004,9088,different_physical_edge,S05_flat_branch_medium_C07:node:node_0071,63958,0.027897580952872425,5
selection,S01,terminal,1,S01_flat_tree_small_C08:node:node_0048,9254,9268,same_edge_reverse_view,S03_flat_unicyclic_small_C07:node:node_0000,32270,0.006498443542189149,5
selection,S01,terminal,1,S01_flat_tree_small_C08:node:node_0050,9330,9320,same_edge_reverse_view,S09_flat_complex_C07:node:node_0078,168668,0.013993302821821919,5
fit,S02,terminal,1,S02_3d_tree_small_C01:node:node_0000,10881,10868,same_edge_reverse_view,S04_3d_unicyclic_small_C05:node:node_0059,42698,0.01880581269354565,5
fit,S02,terminal,1,S02_3d_tree_small_C01:node:node_0009,11127,11116,same_edge_reverse_view,S06_3d_branch_medium_C01:node:node_0038,69600,0.005905689474475628,5
fit,S02,terminal,1,S02_3d_tree_small_C01:node:node_0021,11469,11460,same_edge_reverse_view,S08_3d_loop_rich_C02:node:node_0125,120996,0.017842639817384254,5
fit,S02,junction,3,S02_3d_tree_small_C01:node:node_0040,11682,11826,different_physical_edge,S08_3d_loop_rich_C05:node:node_0109,129378,0.02192931329317657,5
fit,S02,junction,3,S02_3d_tree_small_C01:node:node_0048,11636,11966,different_physical_edge,S04_3d_unicyclic_small_C02:node:node_0017,37470,0.025768961633938436,5
fit,S02,terminal,1,S02_3d_tree_small_C01:node:node_0055,12153,12167,same_edge_reverse_view,S02_3d_tree_small_C02:node:node_0050,13310,0.018997901422406625,5
fit,S02,terminal,1,S02_3d_tree_small_C02:node:node_0009,12505,12487,same_edge_reverse_view,S10_3d_complex_C04:node:node_0146,192392,0.015286693214753929,5
fit,S02,junction,3,S02_3d_tree_small_C02:node:node_0011,12490,12560,different_physical_edge,S06_3d_branch_medium_C02:node:node_0063,71902,0.022453317552168867,5
fit,S02,terminal,1,S02_3d_tree_small_C02:node:node_0013,12517,12531,same_edge_reverse_view,S06_3d_branch_medium_C04:node:node_0084,76632,0.011947605157848318,5
fit,S02,junction,3,S02_3d_tree_small_C02:node:node_0022,12706,12751,different_physical_edge,S10_3d_complex_C03:node:node_0127,187930,0.015128536464041591,5
fit,S02,junction,3,S02_3d_tree_small_C02:node:node_0036,13010,13083,different_physical_edge,S04_3d_unicyclic_small_C06:node:node_0043,43384,0.017190607055000865,5
fit,S02,terminal,1,S02_3d_tree_small_C02:node:node_0042,13198,13186,same_edge_reverse_view,S07_flat_loop_rich_C05:node:node_0108,103266,0.007812205990878389,5
fit,S02,terminal,1,S02_3d_tree_small_C02:node:node_0050,13310,13317,same_edge_reverse_view,S04_3d_unicyclic_small_C01:node:node_0074,37290,0.015890098008158663,5
fit,S02,terminal,1,S02_3d_tree_small_C02:node:node_0056,13376,13385,same_edge_reverse_view,S09_flat_complex_C02:node:node_0081,149696,0.019634996933867093,5
fit,S02,terminal,1,S02_3d_tree_small_C03:node:node_0000,13407,13394,same_edge_reverse_view,S06_3d_branch_medium_C02:node:node_0052,71594,0.010713345868580618,5
fit,S02,junction,3,S02_3d_tree_small_C03:node:node_0013,13732,13848,different_physical_edge,S02_3d_tree_small_C03:node:node_0028,14242,0.011373167330731319,5
fit,S02,junction,3,S02_3d_tree_small_C03:node:node_0022,14018,14164,different_physical_edge,S09_flat_complex_C01:node:node_0039,144319,0.008437146953121602,5
fit,S02,junction,3,S02_3d_tree_small_C03:node:node_0028,14242,14346,different_physical_edge,S10_3d_complex_C06:node:node_0077,198068,0.011327573814892985,5
fit,S02,terminal,1,S02_3d_tree_small_C03:node:node_0031,14434,14422,same_edge_reverse_view,S10_3d_complex_C04:node:node_0161,192285,0.015969794846390488,5
fit,S02,terminal,1,S02_3d_tree_small_C03:node:node_0032,14382,14390,same_edge_reverse_view,S04_3d_unicyclic_small_C04:node:node_0010,40528,0.0148555058923572,5
fit,S02,terminal,1,S02_3d_tree_small_C03:node:node_0039,14634,14606,same_edge_reverse_view,S06_3d_branch_medium_C01:node:node_0090,70467,0.009377660547024765,5
fit,S02,terminal,1,S02_3d_tree_small_C03:node:node_0056,14992,15002,same_edge_reverse_view,S04_3d_unicyclic_small_C04:node:node_0064,41593,0.017311767521501577,5
fit,S02,junction,3,S02_3d_tree_small_C04:node:node_0017,15301,15321,different_physical_edge,S08_3d_loop_rich_C02:node:node_0108,120629,0.04229173978874995,5
fit,S02,terminal,1,S02_3d_tree_small_C04:node:node_0028,15465,15469,same_edge_reverse_view,S08_3d_loop_rich_C02:node:node_0081,120295,0.012292341285804625,4
fit,S02,terminal,1,S02_3d_tree_small_C04:node:node_0029,15332,15344,same_edge_reverse_view,S04_3d_unicyclic_small_C05:node:node_0006,41746,0.007838163703625108,5
fit,S02,junction,3,S02_3d_tree_small_C04:node:node_0041,15736,15792,different_physical_edge,S10_3d_complex_C01:node:node_0062,179286,0.032090674305329144,5
fit,S02,terminal,1,S02_3d_tree_small_C04:node:node_0044,15751,15765,same_edge_reverse_view,S08_3d_loop_rich_C05:node:node_0088,128768,0.009758855774795065,5
fit,S02,terminal,1,S02_3d_tree_small_C04:node:node_0046,15884,15874,same_edge_reverse_view,S02_3d_tree_small_C04:node:node_0028,15465,0.016825272454667386,5
fit,S02,terminal,1,S02_3d_tree_small_C05:node:node_0017,16374,16384,same_edge_reverse_view,S04_3d_unicyclic_small_C04:node:node_0009,40576,0.012151180337074957,5
fit,S02,terminal,1,S02_3d_tree_small_C05:node:node_0019,16462,16444,same_edge_reverse_view,S08_3d_loop_rich_C04:node:node_0095,126057,0.0106263401328774,5
fit,S02,junction,3,S02_3d_tree_small_C05:node:node_0021,16394,16448,different_physical_edge,S07_flat_loop_rich_C06:node:node_0073,105048,0.021221870563103446,5
fit,S02,terminal,1,S02_3d_tree_small_C05:node:node_0023,16554,16542,same_edge_reverse_view,S06_3d_branch_medium_C02:node:node_0079,72342,0.025785644652500918,5
fit,S02,junction,3,S02_3d_tree_small_C05:node:node_0031,16606,16632,different_physical_edge,S07_flat_loop_rich_C02:node:node_0024,91816,0.008928046639549046,5
fit,S02,junction,3,S02_3d_tree_small_C05:node:node_0035,16698,16757,different_physical_edge,S10_3d_complex_C01:node:node_0129,180590,0.01719596070137585,5
fit,S02,terminal,1,S02_3d_tree_small_C05:node:node_0041,16842,16851,same_edge_reverse_view,S06_3d_branch_medium_C04:node:node_0053,75960,0.009285792630455144,5
fit,S02,terminal,1,S02_3d_tree_small_C05:node:node_0043,16930,16910,same_edge_reverse_view,S04_3d_unicyclic_small_C06:node:node_0009,42907,0.01188267156632197,5
fit,S02,terminal,1,S02_3d_tree_small_C06:node:node_0003,17486,17466,same_edge_reverse_view,S01_flat_tree_small_C01:node:node_0008,216,0.012478460253003802,5
fit,S02,junction,3,S02_3d_tree_small_C06:node:node_0010,17600,17696,different_physical_edge,S10_3d_complex_C06:node:node_0077,198068,0.013468640045779157,5
fit,S02,terminal,1,S02_3d_tree_small_C06:node:node_0017,17808,17816,same_edge_reverse_view,S05_flat_branch_medium_C05:node:node_0079,59314,0.011536053735985199,5
fit,S02,terminal,1,S02_3d_tree_small_C06:node:node_0043,18448,18438,same_edge_reverse_view,S10_3d_complex_C04:node:node_0146,192392,0.005912881367684466,5
fit,S02,junction,3,S02_3d_tree_small_C06:node:node_0044,18414,18468,different_physical_edge,S10_3d_complex_C04:node:node_0062,189887,0.011909441619636044,5
fit,S02,terminal,1,S02_3d_tree_small_C06:node:node_0048,18481,18487,same_edge_reverse_view,S06_3d_branch_medium_C06:node:node_0040,80398,0.00853806573191169,5
selection,S02,terminal,1,S02_3d_tree_small_C07:node:node_0000,18896,18884,same_edge_reverse_view,S10_3d_complex_C08:node:node_0163,208198,0.021025654205662037,5
selection,S02,terminal,1,S02_3d_tree_small_C07:node:node_0033,19366,19380,same_edge_reverse_view,S10_3d_complex_C08:node:node_0000,204296,0.015947539565214074,5
selection,S02,terminal,1,S02_3d_tree_small_C07:node:node_0042,19572,19585,same_edge_reverse_view,S10_3d_complex_C07:node:node_0129,203276,0.02682448198221632,5
selection,S02,junction,3,S02_3d_tree_small_C07:node:node_0044,19626,19641,different_physical_edge,S10_3d_complex_C07:node:node_0076,201692,0.027849918138590453,5
selection,S02,junction,3,S02_3d_tree_small_C07:node:node_0052,19732,19758,different_physical_edge,S10_3d_complex_C08:node:node_0019,204637,0.01917166335041612,5
selection,S02,terminal,1,S02_3d_tree_small_C07:node:node_0055,19796,19801,same_edge_reverse_view,S08_3d_loop_rich_C07:node:node_0105,136224,0.012253039875964824,5
selection,S02,terminal,1,S02_3d_tree_small_C08:node:node_0002,19892,19882,same_edge_reverse_view,S04_3d_unicyclic_small_C08:node:node_0024,45898,0.015438856252247057,5
selection,S02,junction,3,S02_3d_tree_small_C08:node:node_0012,20076,20128,different_physical_edge,S10_3d_complex_C07:node:node_0074,201756,0.04156739696170398,5
selection,S02,junction,3,S02_3d_tree_small_C08:node:node_0033,20662,20740,different_physical_edge,S10_3d_complex_C07:node:node_0119,203056,0.01043396083176422,5
selection,S02,junction,3,S02_3d_tree_small_C08:node:node_0034,20614,20726,different_physical_edge,S10_3d_complex_C07:node:node_0137,203560,0.026433549019619754,5
selection,S02,terminal,1,S02_3d_tree_small_C08:node:node_0036,20693,20707,same_edge_reverse_view,S06_3d_branch_medium_C08:node:node_0028,84203,0.008923868172745687,5
selection,S02,terminal,1,S02_3d_tree_small_C08:node:node_0043,20852,20866,same_edge_reverse_view,S06_3d_branch_medium_C07:node:node_0082,83480,0.02232182594032448,5
selection,S02,terminal,1,S02_3d_tree_small_C08:node:node_0048,21092,21106,same_edge_reverse_view,S06_3d_branch_medium_C08:node:node_0036,84444,0.017215487786083727,5
selection,S02,terminal,1,S02_3d_tree_small_C08:node:node_0052,21230,21236,same_edge_reverse_view,S06_3d_branch_medium_C07:node:node_0001,81927,0.03772276179462595,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C01:node:node_0019,22995,22999,same_edge_reverse_view,S05_flat_branch_medium_C05:node:node_0074,59142,0.005545985233759873,4
fit,S03,terminal,1,S03_flat_unicyclic_small_C01:node:node_0022,23106,23094,same_edge_reverse_view,S03_flat_unicyclic_small_C02:node:node_0049,25732,0.0047642152838268375,5
fit,S03,junction,3,S03_flat_unicyclic_small_C01:node:node_0025,23021,23173,different_physical_edge,S07_flat_loop_rich_C03:node:node_0074,96488,0.004729932252215824,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C01:node:node_0031,23189,23195,same_edge_reverse_view,S01_flat_tree_small_C02:node:node_0000,1266,0.004861780222453925,5
fit,S03,junction,3,S03_flat_unicyclic_small_C01:node:node_0032,23230,23328,different_physical_edge,S07_flat_loop_rich_C03:node:node_0043,95834,0.008031169533935133,5
fit,S03,junction,3,S03_flat_unicyclic_small_C01:node:node_0038,23422,23544,different_physical_edge,S07_flat_loop_rich_C02:node:node_0093,93618,0.008211594656411659,5
fit,S03,junction,3,S03_flat_unicyclic_small_C01:node:node_0042,23489,23586,different_physical_edge,S07_flat_loop_rich_C02:node:node_0032,92062,0.0013471288438638054,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C01:node:node_0062,24205,24219,same_edge_reverse_view,S09_flat_complex_C01:node:node_0099,146412,0.0076412695836846935,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C02:node:node_0000,24256,24240,same_edge_reverse_view,S07_flat_loop_rich_C04:node:node_0039,98603,0.00998030968587429,5
fit,S03,junction,3,S03_flat_unicyclic_small_C02:node:node_0002,24272,24310,different_physical_edge,S09_flat_complex_C05:node:node_0031,159534,0.004717944625591428,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C02:node:node_0019,24764,24744,same_edge_reverse_view,S05_flat_branch_medium_C04:node:node_0037,56609,0.004713439456741879,5
fit,S03,junction,3,S03_flat_unicyclic_small_C02:node:node_0032,25014,25038,different_physical_edge,S07_flat_loop_rich_C03:node:node_0066,96260,0.04408367154753929,5
fit,S03,junction,3,S03_flat_unicyclic_small_C02:node:node_0044,25464,25580,different_physical_edge,S09_flat_complex_C01:node:node_0018,143675,0.005905168822289094,5
fit,S03,junction,3,S03_flat_unicyclic_small_C02:node:node_0046,25352,25649,different_physical_edge,S09_flat_complex_C02:node:node_0055,149080,0.008127538319409175,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C02:node:node_0049,25732,25718,same_edge_reverse_view,S03_flat_unicyclic_small_C01:node:node_0022,23106,0.0047642152838268375,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C02:node:node_0066,26082,26093,same_edge_reverse_view,S09_flat_complex_C02:node:node_0064,149397,0.006623585738360274,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C03:node:node_0004,26212,26226,same_edge_reverse_view,S07_flat_loop_rich_C05:node:node_0122,103567,0.00536440379789887,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C03:node:node_0006,26309,26305,same_edge_reverse_view,S05_flat_branch_medium_C06:node:node_0070,61387,0.005568007067352822,4
fit,S03,junction,3,S03_flat_unicyclic_small_C03:node:node_0010,26338,26359,different_physical_edge,S09_flat_complex_C04:node:node_0100,157785,0.012494583138837192,5
fit,S03,junction,3,S03_flat_unicyclic_small_C03:node:node_0030,26899,26920,different_physical_edge,S09_flat_complex_C02:node:node_0103,150252,0.013764659164346467,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C03:node:node_0036,27070,27073,same_edge_reverse_view,S09_flat_complex_C02:node:node_0094,150243,0.0039000380581011,3
fit,S03,junction,3,S03_flat_unicyclic_small_C03:node:node_0039,26992,27184,different_physical_edge,S05_flat_branch_medium_C05:node:node_0062,58926,0.0045561927849855745,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C03:node:node_0040,27163,27177,same_edge_reverse_view,S01_flat_tree_small_C01:node:node_0038,803,0.0072382834299778796,5
fit,S03,junction,3,S03_flat_unicyclic_small_C03:node:node_0045,27256,27356,different_physical_edge,S09_flat_complex_C06:node:node_0066,164427,0.010709491280993255,5
fit,S03,junction,3,S03_flat_unicyclic_small_C03:node:node_0054,27424,27594,different_physical_edge,S01_flat_tree_small_C05:node:node_0028,5610,0.009969415157882435,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C03:node:node_0060,27839,27853,same_edge_reverse_view,S09_flat_complex_C06:node:node_0088,165182,0.003960346019830466,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C04:node:node_0007,28113,28106,same_edge_reverse_view,S07_flat_loop_rich_C02:node:node_0078,93210,0.012204548113179515,5
fit,S03,junction,3,S03_flat_unicyclic_small_C04:node:node_0012,28174,28198,different_physical_edge,S06_3d_branch_medium_C01:node:node_0069,70070,0.03697102651734888,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C04:node:node_0015,28298,28276,same_edge_reverse_view,S07_flat_loop_rich_C05:node:node_0000,100806,0.009360346496320353,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C04:node:node_0017,28317,28312,same_edge_reverse_view,S09_flat_complex_C02:node:node_0014,148252,0.009989774164531607,5
fit,S03,junction,3,S03_flat_unicyclic_small_C04:node:node_0026,28414,28430,different_physical_edge,S09_flat_complex_C06:node:node_0024,163720,0.012475482876635793,5
fit,S03,junction,3,S03_flat_unicyclic_small_C04:node:node_0043,28956,28977,different_physical_edge,S09_flat_complex_C02:node:node_0077,149756,0.006535465960676824,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C04:node:node_0058,29372,29362,same_edge_reverse_view,S03_flat_unicyclic_small_C06:node:node_0004,30918,0.008268297615063156,5
fit,S03,junction,3,S03_flat_unicyclic_small_C04:node:node_0059,29306,29330,different_physical_edge,S01_flat_tree_small_C01:node:node_0046,950,0.004230988426665109,5
fit,S03,junction,3,S03_flat_unicyclic_small_C05:node:node_0006,29492,29562,different_physical_edge,S05_flat_branch_medium_C05:node:node_0009,57753,0.008118769934120373,5
fit,S03,junction,3,S03_flat_unicyclic_small_C05:node:node_0011,29584,29665,different_physical_edge,S03_flat_unicyclic_small_C05:node:node_0023,29793,0.0073290070493820195,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C05:node:node_0021,29824,29832,same_edge_reverse_view,S03_flat_unicyclic_small_C06:node:node_0004,30918,0.006032472193930497,5
fit,S03,junction,3,S03_flat_unicyclic_small_C05:node:node_0022,29840,29864,different_physical_edge,S07_flat_loop_rich_C03:node:node_0083,96638,0.006807216346237179,5
fit,S03,junction,3,S03_flat_unicyclic_small_C05:node:node_0023,29793,29910,different_physical_edge,S07_flat_loop_rich_C05:node:node_0101,102949,0.0034941525774117013,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C05:node:node_0026,29954,29964,same_edge_reverse_view,S07_flat_loop_rich_C05:node:node_0080,102478,0.005947542556606334,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C05:node:node_0029,30052,30032,same_edge_reverse_view,S09_flat_complex_C06:node:node_0153,166524,0.00916335420401511,5
fit,S03,junction,3,S03_flat_unicyclic_small_C05:node:node_0039,30266,30310,different_physical_edge,S10_3d_complex_C04:node:node_0107,190775,0.013924516885248112,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C05:node:node_0040,30376,30360,same_edge_reverse_view,S01_flat_tree_small_C03:node:node_0041,3540,0.013130530406188197,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C05:node:node_0056,30852,30866,same_edge_reverse_view,S01_flat_tree_small_C05:node:node_0008,5046,0.005572254070750486,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C06:node:node_0004,30918,30924,same_edge_reverse_view,S03_flat_unicyclic_small_C05:node:node_0021,29824,0.006032472193930497,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C06:node:node_0006,30969,30956,same_edge_reverse_view,S05_flat_branch_medium_C02:node:node_0071,52456,0.0046616695676098266,5
